CODIGO,NUMERO,NOME,GRUPO,TIPO,MEDICAMENTO,MATERIA_PRIMA,UNIDADE,NUMERO_FAB,ESTOQUE_MIN,ESTOQUE_IDEAL,ESTOQUE_DISP,CUSTO,LUCRO,VENDA,DOLAR,ABC,FORNECEDOR,LOCAL,GAVETA,Utilizado,FABRICANTE,SUBGRUPO,NOMECURTO,P_FOTO,NC_MERCOSUL,C_CLAS_FISCAL,C_CST_O,C_CST,C_ECF_ALIQ,C_ICMS,C_ICMS_ST,C_IPI,C_RED_BCALC,ULTIMA_VENDA,ULTIMA_COMPRA,PODE_DESCONTO,DESCONTO_MAX,PESO_BRUTO,PESO_LIQUIDO,CFOP_INUF,CFOP_OUTUF,ARQUIVADO,PRECO_1,PRECO_2,GTIN,USA_SERIAL,vTotTrib,NUMERO_ORIGINAL,cANP,CST_IPI_PIS_COFINS,VALIDADE,USA_LOTES,cBenef,indEscala,CNPJFab,PIS_ALIQ,COFINS_ALIQ,IPI_cEnq,CEST,vBCSTRet,vICMSSTRet,pST,vICMSSubstituto,pRedBCEfet,vBCEfet,pICMSEfet,vICMSEfet,ML_category_id,ML_video_id,ML_warranty,ML_Description,ITEM_REGRAFISCAL_IDPK,REGRAFISCALPDV_IDPK,CST_CBSIBS,ClassTrib_CBSIBS,AliquotaCBS,AliquotaIBSUF,AliquotaIBSMun,pRedAliqCBS,pRedAliqIBSUF,pRedAliqIBSMun,OBS_REFORMA
463,3027248,ADESIVO SERIAL (INGLES) - (SUBSTITUIDO)                                          Ns: 0000000052,,C,N,N,UN,03027248,0,0,1,"4,17","127,8178","9,5","1,88",0,4,,,,,,ADESIVO SERIAL(INGLES)-(S,,39199090,,0,101,0,0,0,0,100,,30/03/2026,True,100,0,0,5102,6102,False,"9,5","9,5",,False,"40,33",,,99|99|00,,False,,S,,0,0,999,0,0,0,18,"0,68",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
464,16154,PEDALEIRA CORPO PLASTICO SEM PROTECAO 1NA+1NF 10A 250VAC - TFS-01-L1 TELUZ TFS-01-L1,,C,N,N,UN,16154,0,0,2,"49,39","244,1992",170,"33,5968",0,28,,,,,,PEDALEIRA CORPO PLASTICO ,,85365090,,3,101,0,0,0,0,100,,27/05/2026,True,100,0,0,5102,6102,False,170,170,7901092002176,False,"27,92",,,99|99|00,,False,,S,,0,0,999,0,0,0,18,"8,1",0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
13,80010696,ADESIVO ADEK2U07 APLICADOR ATP120 ARTIX ECL2101 R01,,C,N,N,UN,80010696,0,0,1,28,-100,0,0,0,23,,,,,,,,39219019,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
14,80010697,ADESIVO ADEK2U08 APLICADOR ATP150 ARTIX ECL2101 R01,,C,N,N,UN,80010697,0,0,6,54,-100,0,0,0,23,,,,,,,,39199090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
15,80010698,ADESIVO ADEK2U09 APLICADOR ATP200 ARTIX ECL2101 R01,,C,N,N,UN,80010698,0,0,4,38,-100,0,0,0,23,,,,,,,,39219019,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
16,80010761,ADESIVO ADEK2U16 LOGO ARTIX APLICADOR ATP150 ARTIX ECL2101 R01,,C,N,N,UN,80010761,0,0,6,4,-100,0,0,0,23,,,,,,,,39199090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
17,80010763,ADESIVO ADEK2U18 LOGO KLD APLICADOR ATP200 ARTIX ECL2101 R00,,C,N,N,UN,80010763,0,0,4,4,-100,0,0,0,23,,,,,,,,39199090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
18,80010764,ADESIVO ADEK2U19 LOGO KLD APLICADOR ATP150 ARTIX ECL2101 R00,,C,N,N,UN,80010764,0,0,6,4,-100,0,0,0,23,,,,,,,,39199090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
38,3027072,ADESIVO PAINEL NEURODYN II - (12/11)  (VENDAS)                                   NS: 0000000026,,C,N,N,UN,3027072,0,0,4,"59,71",-100,0,0,0,23,,,,,,,,39199090,,0,000,,0,0,0,100,,,True,100,0,0,5102,6102,False,0,0,,False,0,,,,,False,,S,,0,0,999,,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,
39,3027182,ADESIVO PAINEL NEURODYN II 4 CANAIS (02/13)                                      NS: 0000000123,,C,N,N,UN,3027182,0,0,7,"59,7","134,3384","139,9","27,81",0,23,,,,,,,C:\SHARMAQ\SHOficina\Fotos\Item_000003027182.jpg,39199090,,0,101,0,0,0,0,100,17/06/2026,,True,100,0,0,5102,6102,False,"139,9","139,9",,False,"37,13",,,99|99|00,,False,,S,,0,0,999,0,0,0,0,0,0,0,0,0,,,,,0,0,000,000001,0,0,0,0,0,0,
