Codigo/SKU;Descricao;Estoque MGV;Estoque Bling;Diferenca Saldo;NCM MGV;NCM Bling;Preco MGV (R$);Preco Bling (R$);Status;Diagnostico Divergencias
"80010763";"ADESIVO ADEK2U18 LOGO KLD APLICADOR ATP200 ARTIX ECL2101 R00";4;0;4;"39199090";"";0.00;6.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 6.00)"
"80010764";"ADESIVO ADEK2U19 LOGO KLD APLICADOR ATP150 ARTIX ECL2101 R00";6;0;6;"39199090";"";0.00;6.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (6) vs Bling (0) [Dif: +6] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 6.00)"
"80010765";"ADESIVO ADEK2U20 LOGO KLD APLICADOR ATP120 ARTIX ECL2101 R00";1;0;1;"39199090";"";0.00;3.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 3.00)"
"80010767";"ADESIVO ADEK2U22 FIXADOR SUPORTE CINTA ARTIX ECL2101 R01";1;0;1;"39199090";"";0.00;21.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 21.00)"
"80010245";"ADESIVO ADEP7T02 FRENTE PROBE 2750 KAVYS TUS1901";5;0;5;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (5) vs Bling (0) [Dif: +5] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"80010663";"ADESIVO ADEP7T10 TRASEIRO DA PROBE 2750 KAVYS";1;0;1;"39219019";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"80010664";"ADESIVO ADEP7T11 TRASEIRO DA PROBE 950 KAVYS";4;0;4;"39219019";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"80010049";"ADESIVO APERTAR/SOLTAR R01";1;0;1;"39199010";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199010) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"3027964";"ADESIVO APLICADOR FACIAL SONOFOCUS SAFIRA";2;0;2;"39199090";"";15.00;15.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027860";"ADESIVO APLICADOR HECCUS TURBO";2;0;2;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
